MY☀4K直播,#genre#
CCTV14,http://123.113.101.206:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://223.14.160.144:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://fuxin.yunjifei.top:999/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://139.227.221.119:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://shlt.sohu.blog:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://122.228.104.230:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://182.37.41.46:8154/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://120.202.94.181:9446/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://223.75.149.129:9906/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://113.241.133.223:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://69.30.246.194/live/cctv15.m3u8

CCTV15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV15,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv15hd
CCTV15,http://118.193.115.2:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://123.113.101.206:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://fuxin.yunjifei.top:999/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://139.227.221.119:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://shlt.sohu.blog:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://122.228.104.230:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://182.37.41.46:8154/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://120.202.94.181:9446/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://223.75.149.129:9906/tsfile/live/0015_1.m3u8?key=txiptv
CCTV16,http://69.30.246.194/live/cctv16.m3u8
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV16,http://38.75.136.137:98/gslb/dsdqpub/cctv16hd.m3u8?auth=testpub
CCTV16,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd
CCTV16,http://122.228.104.230:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV17,http://69.30.246.194/live/cctv17.m3u8
CCTV17,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV17,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub
CCTV17,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv17hd
CCTV17,http://118.193.115.2:9901/tsfile/live/0128_1.m3u8?key=txiptv
